Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Jurgen Streeck,Unit 170,PLAY,0:01:11,0:01:16,0:32:16,0:32:21
Jurgen Streeck,Unit 171,FREV,0:01:16,0:01:14,0:32:21,0:32:27
Jurgen Streeck,Unit 172,PLAY,0:01:14,0:01:20,0:32:27,0:32:33
Jurgen Streeck,Unit 173,FREV,0:01:20,0:01:14,0:32:33,0:32:44
Jurgen Streeck,Unit 174,PLAY,0:01:14,0:01:18,0:32:44,0:32:49
Jurgen Streeck,Unit 175,STILL,0:01:18,0:01:18,0:32:49,0:32:55
Jurgen Streeck,Unit 176,PLAY,0:01:18,0:01:23,0:32:55,0:33:00
Jurgen Streeck,Unit 177,FREV,0:01:23,0:01:17,0:33:00,0:33:08
Jurgen Streeck,Unit 178,STILL,0:01:17,0:01:17,0:33:08,0:33:31
Jurgen Streeck,Unit 179,PLAY,0:01:17,0:01:24,0:33:31,0:33:35
Jurgen Streeck,Unit 180,FREV,0:01:24,0:01:22,0:33:35,0:33:39
Jurgen Streeck,Unit 181,PLAY,0:01:22,0:01:23,0:33:39,0:33:41
Jurgen Streeck,Unit 182,FREV,0:01:23,0:01:22,0:33:41,0:33:50
Jurgen Streeck,Unit 183,PLAY,0:01:22,0:01:23,0:33:50,0:33:52
Jurgen Streeck,Unit 184,FREV,0:01:23,0:01:21,0:33:52,0:33:56
Jurgen Streeck,Unit 185,PLAY,0:01:21,0:01:23,0:33:56,0:34:02
Jurgen Streeck,Unit 186,FREV,0:01:23,0:01:22,0:34:02,0:34:06
Jurgen Streeck,Unit 187,FFW,0:01:22,0:01:23,0:34:06,0:34:34
Jurgen Streeck,Unit 188,PLAY,0:01:23,0:01:28,0:34:34,0:34:38
Jurgen Streeck,Unit 189,STILL,0:01:28,0:01:28,0:34:38,0:35:05
Jurgen Streeck,Unit 190,PLAY,0:01:28,0:01:41,0:35:05,0:35:20
Jurgen Streeck,Unit 191,FREV,0:01:41,0:01:40,0:35:20,0:35:25
Jurgen Streeck,Unit 192,PLAY,0:01:40,0:01:41,0:35:25,0:35:27
Jurgen Streeck,Unit 193,STILL,0:01:41,0:01:41,0:35:27,0:35:46
Jurgen Streeck,Unit 194,PLAY,0:01:41,0:01:42,0:35:46,0:35:47
Jurgen Streeck,Unit 195,STILL,0:01:42,0:01:42,0:35:47,0:36:06
Jurgen Streeck,Unit 196,PLAY,0:01:42,0:01:43,0:36:06,0:36:07
Jurgen Streeck,Unit 197,STILL,0:01:43,0:01:43,0:36:07,0:36:08
Jurgen Streeck,Unit 198,SREV,0:01:43,0:01:42,0:36:08,0:36:22
Jurgen Streeck,Unit 199,PLAY,0:01:42,0:01:43,0:36:22,0:36:24
Jurgen Streeck,Unit 200,STILL,0:01:43,0:01:43,0:36:24,0:36:26
Jurgen Streeck,Unit 201,PLAY,0:01:43,0:01:53,0:36:26,0:36:37
Jurgen Streeck,Unit 202,STILL,0:01:53,0:01:53,0:36:37,0:36:44
Jurgen Streeck,Unit 203,FREV,0:01:53,0:01:50,0:36:44,0:36:47
Jurgen Streeck,Unit 204,STILL,0:01:50,0:01:50,0:36:47,0:36:56
Jurgen Streeck,Unit 198,PLAY,0:01:51,0:01:52,0:36:56,0:36:57
Jurgen Streeck,Unit 199,FREV,0:01:52,0:01:47,0:36:57,0:37:03
Jurgen Streeck,Unit 200,PLAY,0:01:47,0:01:51,0:37:03,0:37:08
Jurgen Streeck,Unit 201,FREV,0:01:51,0:01:45,0:37:08,0:37:15
Jurgen Streeck,Unit 202,PLAY,0:01:45,0:01:49,0:37:15,0:37:20
Jurgen Streeck,Unit 203,STILL,0:01:49,0:01:49,0:37:20,0:37:29
Jurgen Streeck,Unit 204,FREV,0:01:49,0:01:41,0:37:29,0:37:34
Jurgen Streeck,Unit 205,STILL,0:01:41,0:01:41,0:37:34,0:38:30
Jurgen Streeck,Unit 206,PLAY,0:01:41,0:01:43,0:38:30,0:38:32
Jurgen Streeck,Unit 207,SFWD,0:01:43,0:01:48,0:38:32,0:38:55
Jurgen Streeck,Unit 208,STILL,0:01:48,0:01:48,0:38:55,0:38:56
Jurgen Streeck,Unit 209,SREV,0:01:48,0:01:47,0:38:56,0:39:03
Jurgen Streeck,Unit 210,SFWD,0:01:47,0:01:50,0:39:03,0:39:12
Jurgen Streeck,Unit 211,STILL,0:01:50,0:01:50,0:39:12,0:39:15
Jurgen Streeck,Unit 212,SFWD,0:01:50,0:01:52,0:39:15,0:39:22
Jurgen Streeck,Unit 213,SREV,0:01:52,0:01:49,0:39:22,0:39:31
Jurgen Streeck,Unit 214,STILL,0:01:49,0:01:49,0:39:31,0:39:35
Jurgen Streeck,Unit 215,FREV,0:01:49,0:01:45,0:39:35,0:39:42
Jurgen Streeck,Unit 216,SFWD,0:01:45,0:01:47,0:39:42,0:39:57
Jurgen Streeck,Unit 217,STILL,0:01:47,0:01:47,0:39:57,0:40:00
Jurgen Streeck,Unit 218,SFWD,0:01:47,0:01:51,0:40:00,0:40:12
Jurgen Streeck,Unit 219,SFWD,0:01:51,0:01:53,0:40:12,0:40:23
Jurgen Streeck,Unit 220,SREV,0:01:53,0:01:46,0:40:23,0:40:48
Jurgen Streeck,Unit 221,SFWD,0:01:46,0:01:51,0:40:48,0:41:00
Jurgen Streeck,Unit 222,STILL,0:01:51,0:01:51,0:41:00,0:41:08
Jurgen Streeck,Unit 223,SFWD,0:01:51,0:01:52,0:41:08,0:41:17
Jurgen Streeck,Unit 224,STILL,0:01:52,0:01:52,0:41:17,0:41:31
Jurgen Streeck,Unit 225,SFWD,0:01:52,0:01:53,0:41:31,0:41:33
Jurgen Streeck,Unit 226,SREV,0:01:53,0:01:52,0:41:33,0:41:39
Jurgen Streeck,Unit 227,PLAY,0:01:52,0:01:53,0:41:39,0:41:42
Jurgen Streeck,Unit 228,STILL,0:01:53,0:01:53,0:41:42,0:41:50
Jurgen Streeck,Unit 229,PLAY,0:01:53,0:01:58,0:41:50,0:41:57
Jurgen Streeck,Unit 230,FREV,0:01:58,0:01:54,0:41:57,0:42:01
Jurgen Streeck,Unit 231,STILL,0:01:54,0:01:54,0:42:01,0:42:05
Jurgen Streeck,Unit 232,PLAY,0:01:54,0:01:59,0:42:05,0:42:10
Jurgen Streeck,Unit 233,SREV,0:01:59,0:01:57,0:42:10,0:42:18
Jurgen Streeck,Unit 234,STILL,0:01:57,0:01:57,0:42:18,0:42:30
Jurgen Streeck,Unit 235,PLAY,0:01:57,0:01:59,0:42:30,0:42:32
Jurgen Streeck,Unit 236,FREV,0:01:59,0:01:57,0:42:32,0:42:40
Jurgen Streeck,Unit 237,STILL,0:01:57,0:01:57,0:42:40,0:42:42
Jurgen Streeck,Unit 238,PLAY,0:01:57,0:01:59,0:42:42,0:42:45
Jurgen Streeck,Unit 239,STILL,0:01:59,0:01:59,0:42:45,0:42:51
Jurgen Streeck,Unit 240,SREV,0:01:59,0:01:57,0:42:51,0:42:53
Jurgen Streeck,Unit 241,STILL,0:01:57,0:01:57,0:42:53,0:42:56
Jurgen Streeck,Unit 242,PLAY,0:01:57,0:01:58,0:42:56,0:42:57
Jurgen Streeck,Unit 243,SFWD,0:01:58,0:01:59,0:42:57,0:43:01
Jurgen Streeck,Unit 244,PLAY,0:00:00,0:00:21,0:43:01,0:43:23
Jurgen Streeck,Unit 245,STILL,0:00:21,0:00:21,0:43:23,0:43:25
Jurgen Streeck,Unit 246,FREV,0:00:21,0:00:17,0:43:25,0:43:28
Jurgen Streeck,Unit 247,STILL,0:00:17,0:00:17,0:43:28,0:43:34
Jurgen Streeck,Unit 248,PLAY,0:00:17,0:01:59,0:43:34,0:45:16
